ENSP00000309558,O60279,SUSD5,SUSD5
ENSP00000362306,Q9HCK5,AGO4,AGO4
ENSP00000401371,P31483,TIA1,TIA1
ENSP00000262238,P25490,TYY1,YY1
ENSP00000311816,Q13127,REST,REST
ENSP00000258729,O00425,IF2B3,IGF2BP3
ENSP00000329357,P08047,SP1,SP1
ENSP00000258962,Q07955,SRSF1,SRSF1
ENSP00000362690,Q13285,STF1,NR5A1
ENSP00000349428,P26599,PTBP1,PTBP1
ENSP00000413035,O43251,RFOX2,RBFOX2
ENSP00000329029,Q92994,TF3B,BRF1
ENSP00000354951,Q96PU8,QKI,QKI
ENSP00000379144,Q8NDV7,TNR6A,TNRC6A
ENSP00000362287,Q9H9G7,AGO3,AGO3
ENSP00000385269,Q9NUL5,SHFL,C19orf66
ENSP00000338371,Q9UPQ9,TNR6B,TNRC6B
ENSP00000362300,Q9UL18,AGO1,AGO1
ENSP00000316578,Q15022,SUZ12,SUZ12
ENSP00000350028,Q9HCE1,MOV10,MOV10
ENSP00000254108,P35637,FUS,FUS
ENSP00000371634,Q9Y6M1,IF2B2,IGF2BP2
ENSP00000220592,Q9UKV8,AGO2,AGO2
ENSP00000290341,Q9NZI8,IF2B1,IGF2BP1
ENSP00000361021,P60484,PTEN,PTEN
ENSP00000381031,Q01844,EWS,EWSR1
ENSP00000240185,Q13148,TADBP,TARDBP
